x,y,mi,mis,sc,sc_masked,nmi,masked_mi,mis_masked
-200,-800,0.2793704418691765,0.331001238407894,0.3119659423828125,0.5163079653871755,1.0292028590906597,0.012562674895311127,-0.021506550753679333
-100,-800,0.25567635153467216,0.30655831292806024,0.3145599365234375,0.5088196139338806,1.0263973307922052,0.007968004260064887,-0.023105880807607622
0,-800,0.26470218609611185,0.3227174956146386,0.3167724609375,0.5801530951852674,1.0272946169678798,0.009321980181851788,-0.01224447200363745
100,-800,0.27534475293835164,0.31056773940384974,0.31243896484375,0.35222986465498113,1.0286558326379025,0.00710292433947614,-0.03537544264521435
200,-800,0.2591595389814482,0.28621190197235125,0.3094482421875,0.2705236299090304,1.027552597995388,0.007741394843479479,-0.03828700542277302
300,-800,0.26825877862548586,0.2702445784923596,0.304168701171875,0.01985799866873752,1.0302440325392823,0.009946144212560137,-0.04766423963478843
400,-800,0.24765941731341012,0.20845928418716206,0.295196533203125,-0.3920013312624806,1.0311361966010497,0.015915031239414974,-0.06529198007631612
500,-800,0.21158164802967844,0.1418567756089995,0.288116455078125,-0.6972487242067894,1.0310987998739898,0.01813655788951561,-0.07122443611980324
600,-800,0.1485732450137932,0.06302853678215353,0.2810516357421875,-0.8554470823163968,1.0269269957983616,0.01222043740878793,-0.08471765888586484
700,-800,0.03414476009649926,-0.06574430136345193,0.2806243896484375,-0.9988906145995119,1.007235365726239,0.006836729825407653,-0.09316327017459235
800,-800,0.0035951649531868485,-0.09640483504681316,0.2797088623046875,-1.0,1.0007867938918056,0.0018945894432546143,-0.09810541055674539
900,-800,0.02116533072145413,-0.07883466927854588,0.2797088623046875,-1.0,1.0041237681645825,3.976392927933204e-05,-0.09996023607072067
1000,-800,0.03573403329543899,-0.06426596670456101,0.2797088623046875,-1.0,1.0072330896390465,0.003825060718237199,-0.09617493928176281
1100,-800,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-800,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-700,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-700,0.006826541181354551,-0.09317345881864546,0.2797088623046875,-1.0,1.001425210430936,6.110727787336247e-05,-0.09993889272212664
-1000,-700,0.023822588366524455,-0.07617741163347555,0.2797088623046875,-1.0,1.0046295011895923,0.0009604868668086058,-0.0990395131331914
-900,-700,0.026091505005815863,-0.07390849499418414,0.2797088623046875,-1.0,1.0053272836963427,0.006185324028670131,-0.09381467597132988
-800,-700,0.13053252257885642,0.040123159366076286,0.2800750732421875,-0.9040936321278012,1.024175502366051,0.0030775046380448704,-0.09548029434132056
-700,-700,0.23998100264013852,0.1750375812955634,0.2896881103515625,-0.649434213445751,1.0347056993769603,0.00710664679315162,-0.07950307142295666
-600,-700,0.27225229689626723,0.24452320881106643,0.29779052734375,-0.277290880852008,1.0320450927976572,0.013829442431017979,-0.05799216839658353
-500,-700,0.2677485138978535,0.295033847822859,0.30963134765625,0.27285333925005545,1.0285676893786202,0.004838968073413664,-0.044517588394303226
-400,-700,0.2553422289494831,0.30984633367546494,0.3183746337890625,0.5450410472598181,1.026392234230022,0.0103208758892841,-0.024502731832038292
-300,-700,0.23672947950145926,0.2981117737104675,0.320281982421875,0.6138229420900821,1.0243745801159605,0.0033940169784144143,-0.02206637796278816
-200,-700,0.24019396418990466,0.30164282152294214,0.319671630859375,0.614488573330375,1.0247259493249496,0.0037061760757347664,-0.021232807727238387
-100,-700,0.25093702152446123,0.30768763168643154,0.31634521484375,0.5675061016197027,1.025808912914057,0.0071256171091634134,-0.016016162345018972
0,-700,0.2549981622283094,0.29766512473108286,0.3160552978515625,0.42666962502773464,1.0262137055411515,0.010971012223660221,-0.017562380276894475
100,-700,0.2553369447909869,0.3083822077153268,0.3177947998046875,0.5304526292433992,1.0262614658745213,0.006625269575482494,-0.01941200577397391
200,-700,0.247092283849831,0.29105722727117556,0.3133087158203125,0.43964943421344577,1.0254391198194959,0.007836360263765905,-0.030437436053074564
300,-700,0.2538153360127756,0.3169837407165697,0.3175201416015625,0.631684047037941,1.0261539423232853,0.01072776681676725,-0.012247604827341912
400,-700,0.24651300404865345,0.28876394702624386,0.3125152587890625,0.42250942977590417,1.0259715486983845,0.006404090747434601,-0.03913617994260312
500,-700,0.2473570523169106,0.24493304521684403,0.302337646484375,-0.024240071000665633,1.0280204708105847,0.009911896864936038,-0.049351471229139854
600,-700,0.22668125912074544,0.17046870087801191,0.2907867431640625,-0.5621255824273352,1.0307632284285548,0.016095848288486182,-0.06903838734497289
700,-700,0.17236549974199805,0.08646024125519974,0.2833099365234375,-0.8590525848679831,1.0298608775797737,0.012566159989803722,-0.08204222696382397
800,-700,0.03258609967893919,-0.067302961781012,0.2797088623046875,-0.9988906145995119,1.006837095375008,0.006524220205735914,-0.0934757797942641
900,-700,0.02116533072145413,-0.07883466927854588,0.2797088623046875,-1.0,1.0041237681645825,3.976392927933204e-05,-0.09996023607072067
1000,-700,0.03573403329543899,-0.06426596670456101,0.2797088623046875,-1.0,1.0072330896390465,0.003825060718237199,-0.09617493928176281
1100,-700,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-700,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-600,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-600,0.006826541181354551,-0.09317345881864546,0.2797088623046875,-1.0,1.001425210430936,6.110727787336247e-05,-0.09993889272212664
-1000,-600,0.023822588366524455,-0.07617741163347555,0.2797088623046875,-1.0,1.0046295011895923,0.0009604868668086058,-0.0990395131331914
-900,-600,0.11893225532263335,0.024529104668095963,0.280303955078125,-0.9440315065453738,1.022269775859291,0.009633021113590129,-0.08920212421589734
-800,-600,0.24254963386554693,0.17785582423608165,0.288665771484375,-0.6469380962946527,1.0359344846583953,0.0039921854611685795,-0.08425942314766213
-700,-600,0.2909595191364406,0.27125128749676897,0.30377197265625,-0.19708231639671622,1.0334799650758446,0.020732366461386945,-0.042990730942651226
-600,-600,0.27356486523885915,0.3120050693657728,0.313690185546875,0.3844020412691369,1.0286022185693884,0.009668887864850557,-0.029192882714248625
-500,-600,0.24052779512567157,0.29875388787029106,0.314697265625,0.5822609274461948,1.024746046418061,0.007208432542113038,-0.024863899385998787
-400,-600,0.24191590006676011,0.3013845044599263,0.31787109375,0.5946860439316619,1.0249229464153697,0.007279237018386479,-0.015518632961644586
-300,-600,0.24262386809897762,0.3003895659023945,0.31610107421875,0.577656978034169,1.0249992786061914,0.0035430883693022257,-0.02980503676937095
-200,-600,0.23661716267612395,0.2945936437056336,0.321685791015625,0.5797648102950965,1.0243585244009397,0.005976720243440618,-0.0207039986382989
-100,-600,0.237388139295448,0.2986594949644074,0.317291259765625,0.6127135566895939,1.0244625246375763,0.004184020984736003,-0.015873667056089384
0,-600,0.23910926440966743,0.29568791983456205,0.3188934326171875,0.5657865542489461,1.0246507551769592,0.005239280724379776,-0.030660430835416093
100,-600,0.24289847561745515,0.30151285325224547,0.3173370361328125,0.5861437763479033,1.0250676392957023,0.00809583347148845,-0.020015992576880755
