x,y,mi,mis,sc,sc_masked,mean_intensity
100,-500,0.24134715989483294,0.40903076317861375,0.3172149658203125,0.8384180164189039,57.50987353006435
200,-500,0.24781305278492383,0.40178465251867135,0.3195343017578125,0.7698579986687375,66.86853783004216
300,-500,0.24550873707741344,0.40323005946481083,0.3219451904296875,0.7886066119369869,64.56922564899045
400,-500,0.24100778952165217,0.40028225146973295,0.3246307373046875,0.7963723097404038,63.65120923008653
500,-500,0.24166085376499472,0.4035867468202421,0.3205413818359375,0.8096294652762369,61.56356778344797
600,-500,0.25315967792551697,0.3975683755070568,0.3154449462890625,0.7220434879076991,71.63506767250944
700,-500,0.25639704762766224,0.35354592714840777,0.298126220703125,0.48574439760372756,100.82421788329266
800,-500,0.23895422065892574,0.2698727917705299,0.286285400390625,0.15459285555802085,141.40891945861992
900,-500,0.10633366150605073,0.10854133845302211,0.2812347412109375,0.011038384734856889,161.71144885733304
1000,-500,0.03573403329543899,0.03573403329543899,0.2797088623046875,0.0,165.21854892389615
1100,-500,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,-500,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1200,-400,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,-400,0.006826541181354551,0.006826541181354551,0.2797088623046875,0.0,165.47648102950964
-1000,-400,0.13164288417924605,0.1380107563780479,0.2798004150390625,0.031839360994009316,159.30508098513423
-900,-400,0.26640095196194535,0.31944066795928283,0.2884979248046875,0.2651985799866874,126.02252052362991
-800,-400,0.2853325508206083,0.4037816300307259,0.3018035888671875,0.592245396050588,85.0738850676725
-700,-400,0.24588237487558967,0.40967203540365715,0.316192626953125,0.8189483026403372,60.396050587974266
-600,-400,0.24444864530236596,0.4024584078938903,0.319854736328125,0.7900488129576215,62.92106722875527
-500,-400,0.24426626400517115,0.39463236118733225,0.320709228515625,0.7518304859108054,66.94935655646772
-400,-400,0.23705897551659894,0.396211405070626,0.3169097900390625,0.7957621477701353,64.04276680718881
-300,-400,0.2358460969407034,0.3922250629935102,0.3189544677734375,0.7818948302640337,63.91047259818061
-200,-400,0.23674325724848796,0.38872905711536176,0.3183135986328125,0.7599289993343687,66.55929664965609
