x,y,z
-500,1000,0.09955584594482778
-400,1000,0.22489834836319889
-300,1000,0.29496031487061636
-200,1000,0.29776556894901013
-100,1000,0.2763878149331996
0,1000,0.25328753279369703
100,1000,0.2194582665614484
200,1000,0.14945442769960077
300,1000,0.08849279786611045
400,1000,0.029964827517171673
500,1000,-6.650887377409963e-16
600,1000,-6.650887377409963e-16
700,1000,-6.650887377409963e-16
800,1000,-6.650887377409963e-16
900,1000,-6.650887377409963e-16
1000,1000,-6.650887377409963e-16
