x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
100,0,0.253251145,0.412924985,0.319595337,0.798369203,62.93077435,-0.006632392
-1100,200,0.032517933,0.032517933,0.279953003,0,165.5427668,-0.006865313
900,500,0.130108662,0.133536662,0.280609131,0.017140004,160.2534391,-0.007108139
700,-100,0.237413637,0.391063515,0.317474365,0.76824939,65.5759929,-0.007180455
700,-800,0.03414476,0.034255699,0.28062439,0.000554693,160.8904482,-0.007326754
-300,-600,0.242623868,0.399967999,0.316101074,0.786720657,64.87879964,-0.007779906
-600,900,0.156837882,0.165357962,0.282287598,0.042600399,155.9748724,-0.007821002
-700,-100,0.247953153,0.402335225,0.319961548,0.771910362,65.46377857,-0.00873504
200,0,0.241213789,0.399434335,0.316757202,0.791102729,63.3685933,-0.008860833
-200,-200,0.248792035,0.403185202,0.319366455,0.771965831,66.73064122,-0.008946856
-400,700,0.243584766,0.397622929,0.320220947,0.770190814,66.21627468,-0.009207906
200,100,0.240833097,0.396257991,0.322692871,0.777124473,64.74794764,-0.009334463
400,100,0.234513254,0.39805885,0.317443848,0.817727979,61.16502108,-0.009570044
400,0,0.238965737,0.397485817,0.316040039,0.792600399,64.27263146,-0.009984836
800,-600,0.145845315,0.155097589,0.279937744,0.046261371,155.5309519,-0.010318668
-800,600,0.235750332,0.301281728,0.288604736,0.327656978,118.9064788,-0.01105753
700,800,0.091771581,0.092326273,0.280059814,0.002773464,160.6402818,-0.01113548
-1100,-100,0.048115431,0.048215276,0.279922485,0.000499223,165.4811959,-0.011450431
300,300,0.260349296,0.420400328,0.318069458,0.800255159,63.2918793,-0.011828601
-100,400,0.244098684,0.399967333,0.320648193,0.779343244,64.67711338,-0.012008041
-300,-300,0.250176994,0.406711274,0.319534302,0.7826714,65.56473264,-0.012155973
-400,600,0.241996529,0.395124995,0.316696167,0.765642334,67.09623918,-0.01233306
-500,-700,0.267748514,0.394662204,0.309631348,0.634568449,80.52218771,-0.012507134
-500,-600,0.240527795,0.398326774,0.314697266,0.788994897,61.96633015,-0.012760585
-400,-600,0.2419159,0.400968485,0.317871094,0.795262924,63.69941203,-0.01283048
300,800,0.246713491,0.385264634,0.308883667,0.692755713,73.51153761,-0.013518745
-700,-300,0.249210466,0.397701702,0.322753906,0.742456179,67.87985356,-0.013631188
600,100,0.244472971,0.392464983,0.318908691,0.739960062,68.00138673,-0.013714139
0,-200,0.23989496,0.399868335,0.319549561,0.799866874,63.77030175,-0.013936688
-1000,-500,0.053686756,0.054507701,0.279708862,0.004104726,163.0545818,-0.014026176
-800,800,0.052491611,0.052746769,0.279708862,0.001275793,160.5832039,-0.015196997
-700,300,0.238734575,0.38728128,0.316589355,0.742733526,68.05025516,-0.015598566
-100,-300,0.242867604,0.400433612,0.321426392,0.787830042,64.81268028,-0.016055572
-500,-500,0.241900164,0.399643674,0.325576782,0.78871755,62.48696472,-0.016081144
-200,300,0.255782113,0.406259149,0.316162109,0.752385179,68.50865321,-0.018104064
0,700,0.235077081,0.393918883,0.316711426,0.794209008,62.71705125,-0.018223018
800,100,0.242452555,0.376710376,0.315200806,0.671289106,76.25721101,-0.018569027
500,100,0.246041517,0.3995028,0.317108154,0.767306412,66.93382516,-0.018989134
-300,300,0.244910736,0.400979074,0.312896729,0.780341691,64.63351453,-0.019322742
